Deleted Node Moduleas
# Please enter the commit message for your changes. Lines starting
# with '#' will be ignored, and an empty message aborts the commit.
#
# On branch main
# Your branch is ahead of 'origin/main' by 3 commits.
#   (use "git push" to publish your local commits)
#
# Changes to be committed:
#	deleted:    node_modules/.package-lock.json
#	deleted:    node_modules/csstype/LICENSE
#	deleted:    node_modules/csstype/README.md
#	deleted:    node_modules/csstype/index.d.ts
#	deleted:    node_modules/csstype/index.js.flow
#	deleted:    node_modules/csstype/package.json
#	deleted:    node_modules/goober/LICENSE
#	deleted:    node_modules/goober/README.md
#	deleted:    node_modules/goober/global/global.d.ts
#	deleted:    node_modules/goober/global/package.json
#	deleted:    node_modules/goober/global/src/__tests__/__snapshots__/integration.test.js.snap
#	deleted:    node_modules/goober/global/src/__tests__/global.test.js
#	deleted:    node_modules/goober/global/src/__tests__/integration.test.js
#	deleted:    node_modules/goober/global/src/index.js
#	deleted:    node_modules/goober/goober.d.ts
#	deleted:    node_modules/goober/macro/index.js
#	deleted:    node_modules/goober/macro/package.json
#	deleted:    node_modules/goober/package.json
#	deleted:    node_modules/goober/prefixer/LICENSE
#	deleted:    node_modules/goober/prefixer/README.md
#	deleted:    node_modules/goober/prefixer/autoprefixer.d.ts
#	deleted:    node_modules/goober/prefixer/package.json
#	deleted:    node_modules/goober/prefixer/src/index.js
#	deleted:    node_modules/goober/should-forward-prop/package.json
#	deleted:    node_modules/goober/should-forward-prop/should-forward-prop.d.ts
#	deleted:    node_modules/goober/should-forward-prop/src/__tests__/shouldForwardProp.js
#	deleted:    node_modules/goober/should-forward-prop/src/index.js
#	deleted:    node_modules/goober/src/__tests__/css.test.js
#	deleted:    node_modules/goober/src/__tests__/index.test.js
#	deleted:    node_modules/goober/src/__tests__/integrations.test.js
#	deleted:    node_modules/goober/src/__tests__/styled.test.js
#	deleted:    node_modules/goober/src/core/__tests__/astish.test.js
#	deleted:    node_modules/goober/src/core/__tests__/compile.test.js
#	deleted:    node_modules/goober/src/core/__tests__/get-sheet.test.js
#	deleted:    node_modules/goober/src/core/__tests__/hash.test.js
#	deleted:    node_modules/goober/src/core/__tests__/parse.test.js
#	deleted:    node_modules/goober/src/core/__tests__/to-hash.test.js
#	deleted:    node_modules/goober/src/core/__tests__/update.test.js
#	deleted:    node_modules/goober/src/core/astish.js
#	deleted:    node_modules/goober/src/core/compile.js
#	deleted:    node_modules/goober/src/core/get-sheet.js
#	deleted:    node_modules/goober/src/core/hash.js
#	deleted:    node_modules/goober/src/core/parse.js
#	deleted:    node_modules/goober/src/core/to-hash.js
#	deleted:    node_modules/goober/src/core/update.js
#	deleted:    node_modules/goober/src/css.js
#	deleted:    node_modules/goober/src/index.js
#	deleted:    node_modules/goober/src/styled.js
#	deleted:    node_modules/goober/typings.json
#	deleted:    node_modules/react-dom/LICENSE
#	deleted:    node_modules/react-dom/README.md
#	deleted:    node_modules/react-dom/cjs/react-dom-client.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-client.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom-profiling.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-profiling.profiling.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server-legacy.browser.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server-legacy.browser.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server-legacy.node.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server-legacy.node.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server.browser.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server.browser.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server.bun.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server.bun.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server.edge.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server.edge.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server.node.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-server.node.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom-test-utils.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom-test-utils.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom.production.js
#	deleted:    node_modules/react-dom/cjs/react-dom.react-server.development.js
#	deleted:    node_modules/react-dom/cjs/react-dom.react-server.production.js
#	deleted:    node_modules/react-dom/client.js
#	deleted:    node_modules/react-dom/client.react-server.js
#	deleted:    node_modules/react-dom/index.js
#	deleted:    node_modules/react-dom/package.json
#	deleted:    node_modules/react-dom/profiling.js
#	deleted:    node_modules/react-dom/profiling.react-server.js
#	deleted:    node_modules/react-dom/react-dom.react-server.js
#	deleted:    node_modules/react-dom/server.browser.js
#	deleted:    node_modules/react-dom/server.bun.js
#	deleted:    node_modules/react-dom/server.edge.js
#	deleted:    node_modules/react-dom/server.js
#	deleted:    node_modules/react-dom/server.node.js
#	deleted:    node_modules/react-dom/server.react-server.js
#	deleted:    node_modules/react-dom/static.browser.js
#	deleted:    node_modules/react-dom/static.edge.js
#	deleted:    node_modules/react-dom/static.js
#	deleted:    node_modules/react-dom/static.node.js
#	deleted:    node_modules/react-dom/static.react-server.js
#	deleted:    node_modules/react-dom/test-utils.js
#	deleted:    node_modules/react-hot-toast/LICENSE
#	deleted:    node_modules/react-hot-toast/README.md
#	deleted:    node_modules/react-hot-toast/headless/index.d.ts
#	deleted:    node_modules/react-hot-toast/headless/index.js
#	deleted:    node_modules/react-hot-toast/headless/index.js.map
#	deleted:    node_modules/react-hot-toast/headless/index.mjs
#	deleted:    node_modules/react-hot-toast/headless/index.mjs.map
#	deleted:    node_modules/react-hot-toast/package.json
#	deleted:    node_modules/react-hot-toast/src/components/checkmark.tsx
#	deleted:    node_modules/react-hot-toast/src/components/error.tsx
#	deleted:    node_modules/react-hot-toast/src/components/loader.tsx
#	deleted:    node_modules/react-hot-toast/src/components/toast-bar.tsx
#	deleted:    node_modules/react-hot-toast/src/components/toast-icon.tsx
#	deleted:    node_modules/react-hot-toast/src/components/toaster.tsx
#	deleted:    node_modules/react-hot-toast/src/core/store.ts
#	deleted:    node_modules/react-hot-toast/src/core/toast.ts
#	deleted:    node_modules/react-hot-toast/src/core/types.ts
#	deleted:    node_modules/react-hot-toast/src/core/use-toaster.ts
#	deleted:    node_modules/react-hot-toast/src/core/utils.ts
#	deleted:    node_modules/react-hot-toast/src/headless/index.ts
#	deleted:    node_modules/react-hot-toast/src/index.ts
#	deleted:    node_modules/react/LICENSE
#	deleted:    node_modules/react/README.md
#	deleted:    node_modules/react/cjs/react-compiler-runtime.development.js
#	deleted:    node_modules/react/cjs/react-compiler-runtime.production.js
#	deleted:    node_modules/react/cjs/react-compiler-runtime.profiling.js
#	deleted:    node_modules/react/cjs/react-jsx-dev-runtime.development.js
#	deleted:    node_modules/react/cjs/react-jsx-dev-runtime.production.js
